데이,표제어,예문,동의어 1,동의어 2,동의어 3,동의어 4,동의어 5
2,liberal,Most Western societies are liberal in outlook on the world.,charitable,generous,lavish,munificent,
2,volition,His strong volition made everything possible.,will,,,,
2,evaporate,The sun is constantly evaporating the earth's moisture.,vaporize,,,,
2,evaporate,Her confidence had now completely evaporated.,disappear,,,,
2,flaccid,Caffeine can make your bones flaccid and stunt your growth.,limp,loose,,,
2,bankrupt,His business is bankrupt and he is in dire trouble.,broke,insolvent,ruined,,
2,epitome,He was a model student and the epitome of a hard worker.,example,paragon,quintessence,,
2,pester,Her children are always pestering her to buy them sweets.,annoy,harass,torment,,
2,conventional,New forms are always overtaking conventional are forms.,customary,orthodox,traditional,,
2,risible,She has been making risible attemps to write a novel.,facetious,ludicrous,ridiculous,,
2,summit,A dark cloud is overhanging the summit.,apex,peak,pinnacle,,
2,dispel,"When I listened to this cognent arguments, all my doubts were dispelled and I was forced to agree with his point of view.",disperse,drive away,scatter,,
2,prodigal,It takes wind that he has been prodigal with company funds.,extravagant,profligate,spendthrift,wasteful,
2,agriculture,The country's economy is heavily dependent on agriculture.,farming,husbandry,,,
2,thoughtful,A small grup of thoughtful people could change the world.,careful,cautious,deliberate,prudent,
2,flout,Those who enter our country illegally are flouting our laws.,disregard,mockery,scorn,,
2,nexus,Times Square is the nexus of the New York subway.,connection,link,,,
2,dichotomy,Many people look upon the world in terms of a dichotomy between good and evil.,division,split,,,
2,withdraw,"The bill, carried out against the will of the people, should be withdrawn.",recall,rescind,retract,revoke,
2,ostensible,The ostensible reason for his absence was illness.,apparent,outward,pretended,seeming,specious
2,surplus,Surplus grain is being sold for export.,excess,extra,leftover,,
2,surplus,The balance of payments was in surplus last year.,black figure,black ink,,,
2,calculate,"BMI, or body mass index, us a useful way to calculate your health and level of disease risk.",estimate,evaluate,measure,,
2,introvert,An introvert is not interested in spending time with other people.,introspective,introverted,reserved,,
2,maze,Small fish can hide from big predators inside the maze of coral.,abyrinth,,,,
2,pragmatic,Taking a pragmatic approach to the problem is necessary for the country.,practical,,,,
2,grief,She went nearly mad with grief when her husband died.,sadness,suffering,,,
2,anomalous,He has managed the company fund in an anomalous manner.,aberrant,abnormal,atypical,exceptional,peculiar
2,seize,"As you know, time awaits no one, so seize the day.",capture,catch,,,
2,yoke,No one wants to live under the yoke of a tyrant's rule.,bondage,servitude,slavery,oppression,
2,involve,All operations involve risk to some degree.,encompass,entail,,,
2,congenial,"Some Americans are congenial to me, others are not.",compatible,sympathetic,,,
2,congenial,"In big cities, there is a congenial downtown place for people to congregate at.",agreeable,favorable,friendly,pleasant,
2,trigger,Exaggeratings in an advertisement trigger impulse buying.,bring about,cause,generate,,
2,scope,Mathematics has been recognized as a mandatory subject for it deepens and widens the scope of our thoughts.,extent,range,purview,,
2,resign,The interim president of the Central African Republic has resigned after a disastrous nine-month rule.,quit,retire,vacate,,
2,byproduct,I think success and fame are byproducts of hard work.,spin-off,,,,
2,jubilant,She was jubilant when she won the race.,delighted,exultant,joyful,,
2,adduce,He adduced several facts to support his theory.,cite,mention,present,quote,
2,fraud,He was dragged into a fraud case regardless of his will.,cheat,chicanery,deception,scam,
2,plunder,"Buildings in the capital have been plundered and burned, and at least 27 people have been killed in the riot.",despoil,loot,pillage,,
2,civilization,The Roman Empire was one of the greatest civilizations in the ancient world.,culture,,,,
3,upheaval,The country suffers from post-war social upheaval.,cataclysm,convulsion,turbulence,,
3,provisional,Dalai Lama left for India and set up the provisional government.,interim,temporary,tentative,transient,
3,abide,We abide in a small town.,dwell,live,remain,stay,
3,abide,I can't abide people who can't make up their minds.,bear,endure,suffer,tolerate,
3,species,"There are about 2,000 species of mosquitoes in the world.",kind,,,,
3,belligerent,"The discussion was becoming increasingly belligerent: no matter what was said, someone in the group would challenge it in an angry voice.",aggressive,bellicose,combative,warlike,
3,consume,Standby power is the power consumed by appliances during their lowerst electricity-consuming mode.,exhaust,expend,spend,use up,
3,stagnant,Stagnant water is bound to corrupt.,standing,still,,,
3,stagnant,The stagnant economy is the cause of weak domestic demand.,depressed,sluggish,,,
3,rue,Londeoners will rue the day this buffoon assumed the mantle of leadership.,regret,repent,,,
3,propaganda,The elections are wrought with malicious propaganda.,advertising,promotion,publicity,,
3,demean,I wouldn't demean myself by asking for charity.,abase,debase,degrade,,
3,aftermath,The earthquake was a severe one and many families got separated in the aftermath.,consequence,effect,outcome,result,
3,modulate,An elected sommittee will meet monthly to modulate the countil's energy policy.,adjust,attune,regulate,,
3,showy,He wears showy clothes but there is not much of a person beneath them.,flashy,gaudy,ornate,,
3,partake,The vice president of the company partook in the meeting yesterday.,participate,take part in,,,
3,culprit,The police traced the call and arrested the culprit.,criminal,felon,offender,,
3,culprit,"While junk food is often blamed for the rise in diabetes, researchers say gourmet food is another culprit.",cause,root,source,,
3,invigorate,The cold water invigorated him.,reassure,refresh,upraise,,
3,invigorate,They are looking into ways of invigorating the department.,activate,revitalize,stimulate,,
3,talkative,"If you don't feel like chatting,, you'd better avoid talkative people.",chatty,garrulous,loquacious,verbose,
3,scorn,You should not think scorn of him because he is poor.,contempt,disdain,mockery,,
3,founder,"As the founder of modern philosophy, he demonstrates the independence of human rationality from God.",father,initiator,organizer,,
3,founder,Our boat foundered on a reef.,sink,submerge,,,
3,founder,The peace talks foundered on a basic lack of trust.,collapse,fail,,,
3,custom,Importers declare lower prices on products to customs officials to relieve their tax burden.,duty,tariff,,,
3,expect,Double-deckers are expected to help alleviate the shortage of seats.,anticipate,forecast,foresee,predict,
3,chimerical,He was too involved with chimerical schemes to want to run a restaurant.,fanciful,imaginary,visionary,,
3,replica,The weapon used in the raid was a replica.,copy,duplicate,model,,
3,replica,She is a replica of her father.,copy,duplicate,model,,
3,pierce,Hermful jellyfish have stingers that can pierce the skin.,bore,perforate,puncture,,
3,apparent,He concluded that a person's location had an apparent effect on his or her state or mind.,clear,evident,manifest,obvious,plain
3,muggy,Food poisoning is a lor more common in the summer when theh weather is hot and muggy.,sultry,sweltering,,,
3,infer,"From the evidence, he could infer that the victim knew the criminal.",conclude,deduce,extrapalate,presume,
3,disparate,The two cultures were so utterly disparate that she found it hard to adapt from one to the other.,different,dissimilar,divergent,,
3,emergency,The news of your emergency surgery was quite a shock for us.,exigency,,,,
3,vanquish,Your great army and my superior intellect shall together vanquish our foes.,conquer,defeat,,,
3,gingerly,She picked up the expensive glass vase gingerly.,carefully,cautiously,,,
3,domicile,Any change of domicile should be notified to the proper authorities.,abode,dwelling,habitation,residence,
3,humane,He wrote a lette rdemanding humane treatment of prisoners.,compassionate,merciful,,,
3,humane,Animals raised for meat should also be killed in a humane way.,compassionate,merciful,,,
3,lineage,She uses her mother's surname as well as her father's in respect for her mother's lineage.,descent,genealogy,pedigree,,
3,whisper,It is bad manners to whisper in company.,murmur,,,,
3,outcry,The new tax provoked a public outcry.,objection,protest,,,
3,factual,The best thing about this documentary was its factual description of animal livers.,actual,real,TRUE,valid,
3,avocation,"Jane is a doctor, but she does a bit of writing as an avocation.",by-job,by-work,parergon,sideline,
3,avocation,My father loves playing golf. What is your father's avoacation?,hobby,pastime,recreation,,
3,enlarge,Reading will enlarge your vocabulary.,aggrandize,expand,extend,magnify,
3,enlarge,The candidate will enlarge on this point later on.,dilate,elaborate,exposit,expound,
3,botany,"I passed all the other courses that I took at my university, but I could never pass botany.",phytology,,,,
3,resume,She resumed her career after an interval of six years.,begin,again,recommence,restart,
3,pseudonym,"In the nineteenth century, many women writers used pseudonyms because they were afraid of being labeled ""unladylike.""",nom de plume,pen-name,,,
3,nonchalant,He was completely nonchalant as opposed to her being wildly excited.,composed,unconcerned,unperturbed,,
3,zodiac,The cardinal rule in the school is to obey the teachers.,chief,leading,main,principal,
3,cardinal,"Though it lasted only half an hour, the ponderous lecture seemed interminable to most of the students.",boundless,endless,incessant,infinite,
3,interminable,It's not fair to blame the children for their parent's misdeeds.,censure,condemn,criticize,reprehend,reproach
3,blame,Police are blaming the accident on dangerous driving.,ascribe,assign,attribute,impute,
3,threat,The politician received death threats from right-wing groups.,intimidation,menace,,,
3,threat,Today starts off wiwth sunshine but there is a threat of rain later in the day.,indication,omen,portent,sign,symptom
3,susceptible,Children are so susceptible to the lure of television and video games.,impressible,prone,vulnerable,,
3,susceptible,I thought the president was too susceptible to his problematic past.,impressible,prone,vulnerable,,
4,adroit,Her adroit handling of the boad saved us from going onto the rocks.,adept,deft,dexterous,,
4,chronicle,She chronicled her precious memories of the jungle in her book.,annals,,,,
4,prototype,Karl Draus invented the prototype of the modern bicycle in Germany.,archetype,test product,,,
4,prototype,The camp became a prototype for other summer camps across the nation.,model,original,,,
4,successive,She has been absent from school for three successive days.,consecutive,ensuing,,,
4,successive,It rained for five successive days.,consecutive,ensuing,,,
4,notify,The teacher notified pulpils to assemble in the auditoruium.,announce,apprise,inform,warn,
4,counter,I asked the woman behind the counter if they had any postcards.,checkout,checkstand,,,
4,counter,Such arguments are not easily countered.,contradict,dispute,retort,,
4,distort,Japan shouldn't distort Korean history.,falsify,pervert,twist,,
4,differentiate,We have differentiated our product from the competitioin by its higher quality.,discern,discriminate,distinguish,separate,
4,brazen,He was so brazen as if he didn't know anything.,impudent,shameless,unabashed,,
4,patriotism,Using domestic products is an act of patriotism.,nationalism,,,,
4,improvise,"If you forget something, just improvise, and say something else.",ad-lib,extemporize,,,
4,momentous,The signing of the peace treaty was a momentous event in the nation's modern history.,crucial,important,significant,,
4,feat,He accomplished the splendid feat of winning all the major titles.,accomplishment,achievement,exploit,,
4,contemporary,My studies were devoted almost entirely to contemporary literature.,current,modern,present--day,,
4,contemporary,He was a contemporary of Freud and may have known him.,concurrent,contemporaneous,synchronous,,
4,synopsis,The synopsis shows the net effect of the two policies.,outline,overview,,,
4,recognize,He became delirious and couldn't recognize people.,notice,perceive,,,
4,devoid,"Deserts are not devoid of water, but they contain only minimal amounts.",destitute,lacking,wanting,,
4,pious,He was an extremely pious man and gace all he had to charity.,devoted,spiritual,,,
4,criticize,The decision was criticized by encironmental groups.,censure,fulminate,lambaste,,
4,criticize,We were taught how to criticize poems.,comment,critique,review,,
4,slap,The divorce was like a slap in the face for Jennifer.,insult,,,,
4,loquacious,He becomes loquacious when chatting about his football team.,garrulous,talkative,verbose,,
4,writ,The court served a writ for his arrest.,warrant,,,,
4,vindicate,I have every confidence that this decision will be fully vindicated.,justify,,,,
4,vindicate,"New evidence emerged, vindicating him completely.",absolve,acquit,exonerate,,
4,treatise,The scholar was explaining a recondite treatise.,dissertation,thesis,,,
4,magnify,This microscope magnifies an object 200 times.,aggrandize,amplify,enlarge,,
4,roseate,He predicted a roseate future for America in the twentieth century.,bullish,optimistic,positive,rosy,sanguine
4,promote,The president promised to promote economic growth and employment.,develop,further,support,,
4,conform,Young people face enormous social pressure to conform in order to gain acceptance among their peers.,comply,follow,obey,yield,
4,banquet,They gave a huge banquet to host all the guests who come.,feast,,,,
4,enrich,Reading books will enrich your imagination and life.,richen,,,,
4,quixotic,The prime minister has been described as a somewhat eccentric and quixotic reformer.,idealistic,impractical,romantic,visionary,
4,hazard,The greatest hazard in life is to risk nothing.,danger,jeopardy,peril,risk,
4,abstain,They agreed to abstain from any actions that might endanger the peace process.,forbear,refrain,withhold,,
4,abstain,You need to abstain from alcohol for 24 hours before the medical test.,forbear,refrain,withhold,,
4,furtive,The teacher noticed the pupil's furtive glances at his classmate's paper.,clandestine,elusive,stealthy,,
4,innate,She has an innate discrimination in her choice of goods.,inborn,natural,,,
4,stimulate,Parents should give children books that stimulate them.,prompt,provoke,rouse,spur,
4,receptacle,"If the receptacle is made airtight, the contents will keep for quite a long time.",container,repository,vessel,,
4,exhaust,Excessive work can exhaust you.,consume,overtire,,,
4,exhaust,Automobile exhaust greatly influences pollution in the atmosphere.,emission,,,,
4,junction,You should always slow down as you approach a junction.,crossroad,intersection,confluence,,
4,overwhelm,The army was overwhelmed by the guerilla troops.,crush,dominate,overcome,overpower,
4,overwhelm,The senator overwhelmed the diplomat with questions.,embarrass,perplex,,,
4,archaic,The system is archaic and unfair and needs changing.,antiquated,obsolete,old-fashioned,outmoded,
4,gamut,She felt she had run the whole gamut of human emotions from joy to despair.,range,sphere,,,
4,technical,Having good technical skills is the best way to get a job,specialist,specialized,,,
4,stun,The animals are stunned before slaughter.,stupefy,,,,
4,stun,He was stunned when he read her letter.,bewilder,,,,
4,prevail,Such beliefs still prevail among certaing social goups.,abound,,,,
4,prevail,Justice will prevail over tyranny eventually.,dominate,predominate,,,
5,humiliate,I didn’t want to humilitate her in front of her collegues.,embarrass,humble,shame,,
5,affluent,"Studies have shown that the more affluent workers become, the less sympathetic they tend to be towards a progressive political party.",opulent,prosperous,wealthy,well--0ff,
5,peddler,"The peddler sold vacuum cleaners door to door, walking more than 15 miles every day to support her son in college.",hawker,vendor,,,
5,steady,The castle receives a steady stream of visitors.,constant,,,,
5,steady,She drove at a steady 50 mph.,regular,uniform,,,
5,descry,The captain could only descry the vessel in full sail.,discern,discover,espy,spot,
5,ethnic,"Kurds, an ethnic minority group In Iraq, are mobing to expand their areas.",racial,tribal,,,
5,plod,I watched her plodding her way across the field.,trudge,,,,
5,subtle,These subtle differences between languages reflect deeply rooted ideas in cultures.,delicate,tender,,,
5,boon,There is a saying that competition is a boon not a bane.,advantage,benefit,,,
5,insinuate,The article insinuated that he was having and affair with his friend's wife.,hint,imply,indicate,intimate,signal
5,insinuate,"By revealing the rumor, he insinuated dodubt into Jane's husband.",indoctrinate,infuse,instill,,
5,monetary,Some countries tighten monetary policy to avoid inflation.,numismatic,nummary,,,
5,discrepancy,Arm-to-arm discrepancies of blood pressure could be signs of inefficent metabolism.,difference,disagreement,variation,,
5,discrepancy,The auditors discovered a serious discrepancy in the account information and the company's assets.,difference,disagreement,variation,,
5,contradict,This morning's editorial contradicted what the Prime Minister said yesterday about the economy.,deny,disprove,gainsay,,
5,contradict,His mean actions contradict his fine words.,belie,conflict with,contravene,,
5,zest,He has a zest for life and a quick intellect.,eagerness,enthusiasm,passion,zeal,
5,animate,The success animated him to more efforts.,energize,vivify,inspire,stimulate,
5,imperious,She sent them away with an imperious wave of the hand.,arrogant,domineering,haughty,high-handed,
5,preclude,His religious beliefs precluded his serving in the army.,prevent,prohibit,restrain,,
5,preclude,We won’t preclude pissibly testing a hydrohen bomb.,obviate,rule out,,,
5,spendthrift,"Five years ago, the man divorced his spenthrift wife.",extravagant,improvident,prodigal,profligate,wasteful
5,drought,"If this drought lasts long, the crops will suffer greatly.",aridity,lack of rain,,,
5,oblong,The medium-sized melon has a round of oblong shape.,elongated,slab-sided,,,
5,stem,Many diseases stem from environmental pollution.,arise,come,derive,,
5,stem,The IAEA will never be able to stem nuclear proliferation on its own.,curb,halt,restrain,,
5,stem,A cactus has a thick stem to store a lot of water inside.,branch,stalk,,,
5,insurrection,"A long time ago, the entire household and all their kin used to be wiped out for insurrection.",insurgency,rebellion,revolt,uprising,
5,gratify,The lecturer gratified his thirst for knowledge.,content,fulfill,humor,satisfy,
5,gratify,I'm gratified that people think well of what I do.,delight,divert,entertain,gladden,please
5,frantic,They made frantic attempts to revive their son.,distracted,frenetic,frenzied,insane,phrenetic
5,cavity,"In fact, sticky candies like caramels and jellies are the main cause of cavities.",decayed tooth,dental[tooth] decay,,,
5,precarious,The professional model has a somewhat precarious existence.,insecure,unstable,perilous,,
5,precarious,That ladderlooks very precarious.,insecure,unstable,perilous,,
5,reduce,Some plants have small leaves to reduce the loss of water.,diminish,,,,
5,comprehensive,The insurance policy was comprehensive; it covered all possible losses.,broad,extensive,inclusive,overall,
5,tribulation,The Japanese occupation period was a time of tribulation for our nation.,adversity,hardship,ordeal,suffering,
5,revile,"Bush may be reviled now, but history will judge him much more fairly.",abuse,curse,swear,vituperate,
5,admission,Admission is by invitation only.,admittance,entrance,,,
5,admission,His silence is an admission of being guilty.,confession,recognition,,,
5,laborious,Checking the entire report for mistakes was a laborious business.,arduous,backbreaking,onerous,strenuous,
5,wrath,His trembling lips showed me that he was bottling up his wrath.,anger,exasperation,fury,indignation,rage
5,distinctive,The male bird has distinctive white markings on its head.,peculiar,singular,special,unique,
5,mesmerize,The Indian healer mesmerized the patient.,hypnotize,,,,
5,mesmerize,He was mesmerized by her besitching green eyes.,bewitch,captivate,enchant,enthrall,fascinate
5,cautious,"Even though his cautious approach has advantages, it looks awkward in this urgent situation.",careful,chary,circumspect,discreet,prudent
5,mishap,Floors are horizintal and walls are vertical.,erect,perpendicular,plumb,upright,
5,breathtaking,This year's Tokyo Motor Show exhibited many electiric cars.,display,show,,,
5,clue,"Automobile accidents occur with alarming frequency, but attract little media coverage because few people are killed or seriously injured in any particular mishap.",accident,mischance,misfortune,,
5,gleam,"Luckily for us, we live in an era of breathtaking biomedical advances.",amazing,astonishing,awesome,stunning,
5,abject,The detectives groped for some clue to the case.,cue,hint,indication,,
5,foresee,There was a gleam of hope for a peaceful settlement.,flash,glimmer,,,
5,ruddy,The conditions that these people live in are abject and shocking.,miserable,wretched,,,
5,punishment,Ancient Israel had Isaiah who foresaw the collapses of Babylon and Assyria.,anticipate,forecast,foretell,predict,
5,uplift,Melinda does have a ruddy color and palpable vigor.,florid,high-colored,rubicund,sanguine,
5,epoch,Punishment should always be proportionate to the crime committed.,penalty,,,,
5,outweigh,Yoga is helpful to uplift the mind and the spirit.,advance,enhance,improve,,
6,flippant,The ultimate benefits of quitting smoking far outweigh the anguish that accompanies it.,exceed,outbalance,overweigh,surpass,
6,panel,Her flippant tone irked him.,frivolous,impertinent,,,
6,sporadic,These sporadic attacks seem to indicate that the enemy is waging a war of attrition rather than attacking us directly.,intermittent,occasional,periodic,,
6,declare,Taegeukgi was officially declared the national flah of Korea by King Gojong in 1883.,affirm,announce,assert,proclaim,
6,anthology,The antholohy featuring 75 poems by 15 Korean-american poets showed the Korean immigrants' nostalgia.,"literary collection,",garland,,,
6,infringe,She refused to answer questions that infringed on her private affairs.,encroach,trespass,,,
6,chronic,He is suffering from serious chronic illness that requires long-term care.,continuous,inveterate,,,
6,expend,He regrets expending so much time doing meaningless things when he was young.,consume,exhaust,outlay,use up,
6,burden,We played the game with the burden of having to win it.,cargo,load,onus,responsibility,strain
6,snooze,My son was snoozing on the sofa.,doze,drowse,nap,nod,slumber
6,defunct,That company Is now defunct; it closed last month.,dead,extinct,nonexistent,,
6,hearsay,We can't make a decision based on hearsay and huesswork.,gossip,rumor,scuttlebutt,,
6,mutable,We are all bound to flesh which is mutable.,capricious,changeable,fickle,volatile,
6,allay,Authrities were trying to allay growing public fear of the virus.,cairn,relieve,,,
6,crucial,Winning this contract is crucial to the success of the company.,critical,decisive,vital,,
6,paraphrase,She paraphrased the sentence to help her children to understand more easily.,reword,,,,
6,terrain,The terrain changed quickly from arable land to desert.,area,ground,region,territory,topography
6,lucrative,New drug production is a cery lucratice buisness.,profitable,remunerative,,,
6,inception,"The program has expanded since its inception to include children with absent, disabled, or unemployed parents.",beginning,commencement,initiation,outset,
6,disregard,Ignoring traffic rules means disregard for life.,discount,ignore,neglect,overlook,
6,kin,He is kin to me on my mother's side.,kinfolk,relative,,,
6,revoke,His driver's license was revoked since he had too many accidents.,annul,cancel,repeal,rescind,
6,binary,Concentional computers operate In the binary system which uses 0's and 1's.,double,dual,,,
6,consensus,There is a general consensus among teachers about the need for greater security in schools.,agreement,concord,,,
6,insular,The costal and insular areas have been deceloped to attract tourists.,islandic,islandish,,,
6,insular,The British are often accused of being insular.,narrow-minded,parochial,prejudiced,provincial,
6,mangle,The body was found horribly mangled in the laboratory.,cut,lacerate,mutilate,rend,tear
6,prolong,The operation could prolong his life by two or three years.,elongate,extend,lengthen,,
6,reminiscent,This tall tree is reminiscent of the old oak tree in my hometown.,evocative,redolent,,,
6,vow,They vowed that they would fight against the invaders.,pledge,promise,swear,,
6,spokesman,He's so accustomed to working by himself that I doubt if he is capable of collaborating on this project.,cooperate,work together,,,
6,collaborate,What you regard as witticisms can be offensice to sensitive people.,jest,joke,pleasantry,pun,
6,witticism,Tess was aprehended by the local police and subsequently accused for her misdemeanor.,charge,incriminate,indict,prosecute,
6,accuse,Do not accuse a person of something they did not do.,blame,censure,condemn,,
6,peerless,His peerless performance won him a prize.,incomparable,unequalled,unmatched,,
6,outlook,The outlook for his business doesn’t look very promising.,prospect,scene,view,,
6,stall,The car stalled and refused to start again.,halt,,,,
6,transient,He enjoyed a mere transient popularity.,temporary,transitory,ephemeral,,
6,finance,His father had no funds with which to financce his education.,assets,budget,funds,,
6,plea,She made a tearful plea for a home for her family.,appeal,entreaty,petition,,
6,equitable,No one believed that the Supreme Court decision was equitable.,fair,impartial,just,unbiased,
6,aptitude,Young people have an aptitude to lose to control themselves.,bent,inclination,predisposition,proclivity,tendency
6,aptitude,The job which corresponds with one's aptitiude is ideal.,ability,fitness,talent,,
6,nonplus,He did not know what to do because he was at a nonplus.,baffle,bewilder,confuse,perplex,
6,germ,"A single sneeze can send 100,000 germs into a air.",bacteria,microbe,virus,,
6,foreboding,She had a sense of foreboding that the news would be bad.,premonition,presentiment,,,
6,sociable,She was a sociable girl who talked to anyone.,affable,affable,friendly,gregarious,outgoing
6,cavil,"I respect your sensible criticisms, but I dislike the way you cavil about unimportant details.",carp,,,,
6,dividend,"When a company earns a profit, some of this money is typically reinvested in the buiseness, and some of it can be paid to its shareholders as a dividend.",bonus,return,,,
7,subtract,You have to subtract 25% tax from the sum you receive.,deduct,withdraw,,,
7,blunder,The politician was very careful not to commit a blunder.,fault,gaffe,mistake,oversight,slip
7,blunder,The government had blundered in its handling of the affair.,bloop,bungle,err,,
7,conspiracy,"Last week, 330 retired and serving military officers were convicted of a conspiracy to launch a coup in 2003.",collusion,intrigue,machination,plot,
7,inscribe,"They received their new uniforms, inscribed with the numbers 9 and 8 respectively.",carve,engrave,,,
7,inscribe,The scene is deeply inscribed in her memory.,impress,imprint,,,
7,peculiar,"Like many other countries, Spain has its own peculiar customs.",bizarre,odd,strange,unusual,
7,scrawl,Her signature was an illegible scrawl.,doodle,scribble,,,
7,amicable,They established amicable relations between the two nations.,friendly,neighborly,,,
7,epic,These were epic novels about the settlement and growth of the West.,epopee,epos,,,
7,destitute,The government must take care of the destitute.,impoverished,indigent,poor,,
7,destitute,The cold-blooded man is utterly destitute of shame.,devoid,lacking,,,
7,swell,"When the bee had stung her arm, her arm was beginning to swell up.",balloon,bloat,inflate,,
7,swell,"After gold was discovered in California in 1848, the population there swelled.",burgeon,increase,,,
7,raconteur,"A renowned raconteur, he was also a popular broadcaster.",storyteller,,,,
7,cultivate,"Originally cultivated in India, the banana was brought to the Americas by the Portuguese who found it in Africa.",farm,till,,,
